time,mnvel,errvel,tel,svalue
2454491.346239,33.2165,0.009,SOPHIE,\nodata
2454855.649405,33.1522,0.011,HARPS,\nodata
2454859.523266,33.1978,0.009,SOPHIE,\nodata
2454861.805096,33.1559,0.011,HARPS,\nodata
2455190.858330,33.1793,0.008,HARPS,\nodata
2455627.731280,33.2302,0.027,HARPS,\nodata
2455946.826764,33.1927,0.018,HARPS,\nodata
2455967.603124,33.1589,0.017,HARPS,\nodata
2455978.573111,33.2331,0.017,HARPS,\nodata
2455985.584973,33.1612,0.009,SOPHIE,\nodata
2456245.850840,33.1369,0.015,HARPS,\nodata
2456269.792535,33.1744,0.017,HARPS,\nodata
2456302.783186,33.1737,0.022,HARPS,\nodata
2456308.757989,33.1658,0.011,HARPS,\nodata
2456323.753653,33.1513,0.017,HARPS,\nodata
2456333.731236,33.2038,0.014,HARPS,\nodata
2456682.678876,33.1879,0.009,HARPS,\nodata
2456694.520940,33.1934,0.012,HARPSN,\nodata
2456697.491230,33.2130,0.009,HARPSN,\nodata
2456715.700122,33.1711,0.011,HARPS,\nodata
2456719.635730,33.1821,0.014,HARPS,\nodata
2456720.402692,33.1154,0.014,SOPHIE,\nodata
2456721.537993,33.1395,0.013,SOPHIE,\nodata
2456977.809987,33.1514,0.015,HARPS,\nodata
2456978.836719,33.1645,0.016,HARPS,\nodata
2456983.818923,33.2158,0.012,HARPS,\nodata
